# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Fri Jan 28 21:25:45 CET 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: LSST ugrizy, July 2019 total filter throughputs for DP0 (all ABmags)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    ymag
0.0002 -1.89055 10.00000 0.8375071287 3.0873711109    0.835  0.916  3.7449  3.376    2  0.000  0.536     0.00     0.00 -1  -2.3e-12      0.00 7.690e-01 2.308e-01 3.325e-05 9.089e-06 8.262e-05 -1.000 2.000e-04 2.480 3.721 2.867 2.487 2.337 2.284 2.262
0.0002 -1.89055 10.00000 0.8376830816 3.0874404907    0.836  0.931  3.7439  3.357    2  0.000  0.537     0.00     0.00 -1 -2.44e-12      0.00 7.681e-01 2.317e-01 3.334e-05 9.114e-06 8.285e-05 -1.000 1.759e-04 2.442 3.690 2.832 2.449 2.297 2.243 2.221
0.0002 -1.89055 10.00000 0.8381552100 3.0876264572    0.836  0.974  3.7415  3.304    3  0.000  0.537     0.00     0.00 -1 -2.85e-12      0.00 7.658e-01 2.340e-01 3.357e-05 9.175e-06 8.340e-05 -1.000 2.000e-04 2.335 3.601 2.732 2.342 2.186 2.130 2.106
0.0002 -1.89055 10.00000 0.8386714458 3.0878293514    0.836  1.024  3.7391  3.245    3  0.000  0.537     0.00     0.00 -1 -3.43e-12      0.00 7.636e-01 2.362e-01 3.377e-05 9.229e-06 8.388e-05 -1.000 2.001e-04 2.210 3.495 2.615 2.217 2.057 1.999 1.973
0.0002 -1.89055 10.00000 0.8391096592 3.0880017281    0.837  1.070  3.7373  3.192    3  0.000  0.537     0.00     0.00 -1 -4.05e-12      0.00 7.618e-01 2.380e-01 3.390e-05 9.266e-06 8.420e-05 -1.000 2.000e-04 2.095 3.395 2.506 2.103 1.940 1.880 1.853
0.0002 -1.89055 10.00000 0.8395283222 3.0881659985    0.837  1.116  3.7356  3.139    3  0.000  0.537     0.00     0.00 -1 -4.79e-12      0.00 7.602e-01 2.396e-01 3.401e-05 9.296e-06 8.447e-05 -1.000 2.000e-04 1.979 3.295 2.395 1.987 1.821 1.760 1.731
0.0002 -1.89055 10.00000 0.8399534822 3.0883326530    0.837  1.167  3.7339  3.081    3  0.000  0.537     0.00     0.00 -1 -5.75e-12      0.00 7.585e-01 2.413e-01 3.409e-05 9.325e-06 8.470e-05 -1.000 1.978e-04 1.852 3.185 2.274 1.861 1.692 1.629 1.599
0.0002 -1.89055 10.00000 0.8403441310 3.0884857178    0.838  1.218  3.7323  3.025    3  0.000  0.536     0.00     0.00 -1 -6.89e-12      0.00 7.570e-01 2.429e-01 3.413e-05 9.352e-06 8.489e-05 -1.000 1.737e-04 1.726 3.073 2.153 1.735 1.564 1.499 1.468
0.0002 -1.89055 10.00000 0.8406948447 3.0886230469    0.838  1.267  3.7308  2.970    3  0.000  0.535     0.00     0.00 -1 -8.22e-12      0.00 7.556e-01 2.442e-01 3.412e-05 9.386e-06 8.503e-05 -1.000 1.481e-04 1.603 2.966 2.036 1.613 1.439 1.373 1.341
0.0002 -1.89055 10.00000 0.8410013318 3.0887429714    0.838  1.313  3.7293  2.917    3  0.000  0.533     0.00     0.00 -1 -9.71e-12      0.00 7.543e-01 2.455e-01 3.406e-05 9.437e-06 8.514e-05 -1.000 2.000e-04 1.487 2.866 1.925 1.497 1.321 1.253 1.220
